1599727849380::Gyroscope - Username: TEST-1; X rotation: 0.07293443; Y rotation: -0.06746531; Z rotation: 0.035585854; Time: 1599727849378

1599727849519::Accelerometer - Username: TEST-1; X: -0.7711963; Y: 7.175479; Z: 6.8689165; Time: 1599727849515

1599727849522::Gyroscope - Username: TEST-1; X rotation: 0.16507979; Y rotation: -0.21287392; Z rotation: 0.079794325; Time: 1599727849520

1599727849677::Accelerometer - Username: TEST-1; X: -0.55803955; Y: 7.2808595; Z: 6.588699; Time: 1599727849674

1599727849681::Gyroscope - Username: TEST-1; X rotation: 0.16507979; Y rotation: -0.17186123; Z rotation: 0.049966924; Time: 1599727849678

1599727849838::Accelerometer - Username: TEST-1; X: -0.3305127; Y: 7.486831; Z: 6.437813; Time: 1599727849833

1599727849842::Gyroscope - Username: TEST-1; X rotation: 0.0106164515; Y rotation: -0.010473666; Z rotation: 0.020139517; Time: 1599727849839

1599727849995::Accelerometer - Username: TEST-1; X: -0.3879932; Y: 7.4844365; Z: 6.456973; Time: 1599727849992

1599727849999::Gyroscope - Username: TEST-1; X rotation: -0.010156205; Y rotation: -0.033376854; Z rotation: 0.0062910793; Time: 1599727849996

1599727850156::Accelerometer - Username: TEST-1; X: -0.4382886; Y: 7.4676714; Z: 6.6509695; Time: 1599727850151

1599727850161::Gyroscope - Username: TEST-1; X rotation: 0.03405227; Y rotation: -0.06640005; Z rotation: -0.011285784; Time: 1599727850158

1599727850176::ButtonData - Username: TEST - 1; Button = 3

1599727850314::Accelerometer - Username: TEST-1; X: -0.3784131; Y: 7.4054008; Z: 6.5288234; Time: 1599727850310

1599727850320::Gyroscope - Username: TEST-1; X rotation: -0.009623572; Y rotation: 0.0017768746; Z rotation: -0.00808999; Time: 1599727850315

1599727850472::Accelerometer - Username: TEST-1; X: -0.4239185; Y: 7.462881; Z: 6.4186525; Time: 1599727850469

1599727850477::Gyroscope - Username: TEST-1; X rotation: 0.015410142; Y rotation: -0.0056799767; Z rotation: 0.029726896; Time: 1599727850473

1599727850631::Accelerometer - Username: TEST-1; X: -0.3879932; Y: 7.446116; Z: 6.550379; Time: 1599727850627

1599727850638::Gyroscope - Username: TEST-1; X rotation: -0.013351999; Y rotation: 0.0044400357; Z rotation: -0.008622623; Time: 1599727850633

1599727850790::Accelerometer - Username: TEST-1; X: -0.45026368; Y: 7.422166; Z: 6.5120583; Time: 1599727850786

1599727850795::Gyroscope - Username: TEST-1; X rotation: -0.005362515; Y rotation: 0.04918114; Z rotation: 0.02333531; Time: 1599727850791

1599727850948::Accelerometer - Username: TEST-1; X: -0.45505372; Y: 7.4509063; Z: 6.485713; Time: 1599727850945

1599727850955::Gyroscope - Username: TEST-1; X rotation: 0.021269096; Y rotation: -3.5365426E-4; Z rotation: -0.009687887; Time: 1599727850950

1599727851107::Accelerometer - Username: TEST-1; X: -0.4742139; Y: 7.4269557; Z: 6.552774; Time: 1599727851104

1599727851114::Gyroscope - Username: TEST-1; X rotation: 0.009551188; Y rotation: 0.012962152; Z rotation: -0.0038289328; Time: 1599727851109

1599727851265::Accelerometer - Username: TEST-1; X: -0.4406836; Y: 7.33355; Z: 6.5264287; Time: 1599727851263

1599727851270::Gyroscope - Username: TEST-1; X rotation: 0.04150912; Y rotation: -0.045094762; Z rotation: -0.03685213; Time: 1599727851266

1599727851287::ButtonData - Username: TEST - 1; Button = E

1599727851293::TouchData - Username: TEST-1; time_ms: 1599727846856; event: Down; X: 365.0; Y: 1042.0; Pressure: 0.58750004; Area: 0.11764706; TouchID: 1

