1597763984183::TouchData - Username: test-1; time_ms: 82576; event: Move; X: 772.0; Y: 1342.0; Pressure: 0.8; Area: 0.13235295; TouchID: 2

1597763984185::TouchData - Username: test-1; time_ms: 1597763982576; event: Move; X: 772.0; Y: 1342.0; Pressure: 0.8; Area: 0.13235295; TouchID: 2

1597763984189::TouchData - Username: test-1; time_ms: 82592; event: Move; X: 772.0; Y: 1342.0; Pressure: 0.725; Area: 0.11764706; TouchID: 2

1597763984191::TouchData - Username: test-1; time_ms: 82593; event: Move; X: 772.0; Y: 1342.0; Pressure: 0.6375; Area: 0.11764706; TouchID: 2

1597763984194::TouchData - Username: test-1; time_ms: 1597763982593; event: Move; X: 772.0; Y: 1342.0; Pressure: 0.6375; Area: 0.11764706; TouchID: 2

1597763984196::TouchData - Username: test-1; time_ms: 1597763982595; event: Up; X: 772.0; Y: 1342.0; Pressure: 0.6375; Area: 0.11764706; TouchID: 2

1597763984199::TouchData - Username: test-1; time_ms: 1597763982918; event: Down; X: 759.0; Y: 1314.0; Pressure: 0.6125; Area: 0.11764706; TouchID: 3

1597763984202::TouchData - Username: test-1; time_ms: 82943; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.7625; Area: 0.11764706; TouchID: 3

1597763984204::TouchData - Username: test-1; time_ms: 1597763982943; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.7625; Area: 0.11764706; TouchID: 3

1597763984206::TouchData - Username: test-1; time_ms: 82959; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.85; Area: 0.14705883; TouchID: 3

1597763984208::TouchData - Username: test-1; time_ms: 82960; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.8875; Area: 0.14705883; TouchID: 3

1597763984211::TouchData - Username: test-1; time_ms: 1597763982960; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.8875; Area: 0.14705883; TouchID: 3

1597763984214::TouchData - Username: test-1; time_ms: 82976; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.90000004; Area: 0.14705883; TouchID: 3

1597763984216::TouchData - Username: test-1; time_ms: 82976; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.9125; Area: 0.14705883; TouchID: 3

1597763984220::TouchData - Username: test-1; time_ms: 1597763982976; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.9125; Area: 0.14705883; TouchID: 3

1597763984223::TouchData - Username: test-1; time_ms: 82999; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.925; Area: 0.14705883; TouchID: 3

1597763984225::TouchData - Username: test-1; time_ms: 1597763982999; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.925; Area: 0.14705883; TouchID: 3

1597763984227::TouchData - Username: test-1; time_ms: 83026; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.9125; Area: 0.14705883; TouchID: 3

1597763984230::TouchData - Username: test-1; time_ms: 83026; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.90000004; Area: 0.14705883; TouchID: 3

1597763984232::TouchData - Username: test-1; time_ms: 1597763983026; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.90000004; Area: 0.14705883; TouchID: 3

1597763984234::TouchData - Username: test-1; time_ms: 83042; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.875; Area: 0.14705883; TouchID: 3

1597763984237::TouchData - Username: test-1; time_ms: 1597763983042; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.875; Area: 0.14705883; TouchID: 3

1597763984239::TouchData - Username: test-1; time_ms: 83059; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.83750004; Area: 0.14705883; TouchID: 3

1597763984241::TouchData - Username: test-1; time_ms: 83059; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.7625; Area: 0.11764706; TouchID: 3

1597763984244::TouchData - Username: test-1; time_ms: 1597763983059; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.7625; Area: 0.11764706; TouchID: 3

